"Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
2021-06-29,548.25,559,541.5,546.25,1.25,548.5,145405,600129
2021-06-28,519,548.25,517.5,544.75,28,547.25,138540,603701
2021-06-25,535,542.25,518,518,-16.75,519.25,158014,600130
2021-06-24,534,541.75,514.25,531.5,0.25,536,173862,602253
2021-06-23,538,543,528.75,535.75,-3.25,535.75,123672,596441
2021-06-22,561,566,536.25,539,-18,539,128233,596862
2021-06-21,545.5,564.75,540,557,-9.25,557,130386,592099
2021-06-18,531.5,575,530.5,566,33.75,566.25,173159,595491
2021-06-17,571,573.25,532.5,532.5,-40,532.5,181110,593512
2021-06-16,576.75,585.75,566,570.5,-1.25,572.5,132220,591338
2021-06-15,584.5,586.25,561,575,-7.5,573.75,133391,589713
2021-06-14,598,598.75,570.5,581.25,-28.5,581.25,151348,588207
2021-06-11,616,619.75,596,609.5,-6.75,609.75,164634,577757
2021-06-10,608.75,628.25,606.5,615,6.75,616.5,172110,571192
2021-06-09,609,615,593,607,0.25,609.75,149363,566604
2021-06-08,606,617.75,605,609.5,6.75,609.5,146157,562175
2021-06-07,605.5,618.25,597.5,603,11.25,602.75,169915,554116
2021-06-04,569,592.75,568,586.75,25,591.5,107932,547294
2021-06-03,573.5,582.75,558.25,570,-6.25,566.5,125309,547634
2021-06-02,572,584.75,563.5,572.75,-4.25,572.75,108690,542339
2021-06-01,558,585.5,551,575,31.5,577,130746,538344
2021-05-28,552.5,557.75,544,544,-9.5,545.5,80669,537194
2021-05-27,523,557,521,553.5,34.25,555,111990,535356
2021-05-26,515.75,523,500.25,521.25,5,520.75,116759,533885
2021-05-25,540.75,543.25,513.75,513.5,-24.5,515.75,111808,533008
2021-05-24,540,542.5,529,540,-6.25,540.25,60326,531115
2021-05-21,551.5,553.25,542.25,546,-5.5,546.5,62694,528766
2021-05-20,541,555.75,540.25,551.5,13,552,94426,524668
2021-05-19,545.25,545.75,520.75,540,-4.25,539,124058,523697
2021-05-18,537.75,549.75,537.75,543.5,6,543.25,96841,526955
2021-05-17,540,549.25,527,537,-5.5,537.25,124103,529471
2021-05-14,583,598.75,561.5,562.75,-20,563,53156,262049
2021-05-13,620,622.75,581.5,583,-38.5,583,53825,261091
2021-05-12,634.5,643.5,613.25,620,-13.5,621.5,52930,261442
2021-05-11,628,640.5,620,635,6,635,33516,257582
2021-05-10,643.75,650.25,626.5,629,-25.75,629,39384,257699
2021-05-07,646.5,656,638.5,654,9.25,654.75,62259,251920
2021-05-06,633,647.25,628,644,14.5,645.5,65240,247583
2021-05-05,610.25,633,608.25,629,20.75,631,54518,244485
2021-05-04,591.75,611.75,589.75,610,18.5,610.25,40129,238169
2021-05-03,597.25,611.5,589,592,-0.5,591.75,48810,234293
2021-04-30,569,595,566.75,592,21.75,592.25,48424,231809
2021-04-29,568,575.5,561.75,569.25,-1,570.5,32678,228389
2021-04-28,583.75,590.5,561.25,565,-14.5,571.5,59659,227364
