"Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
2021-06-29,385,391.5,384.5,387,2.5,386.25,326,2286
2021-06-28,376,386.25,376,385,7.75,383.75,420,2180
2021-06-25,378.25,380,371,376.5,0.75,376,264,2106
2021-06-24,366,380.25,359,377.25,9,375.25,450,2008
2021-06-23,361.75,368.25,360.5,365.5,6,366.25,237,1955
2021-06-22,362.25,366,358,359.5,-1,360.25,273,1882
2021-06-21,367.25,371.25,358.25,362,-9.75,361.25,272,1923
2021-06-18,366.75,375,366.75,371,4.25,371,175,1866
2021-06-17,373.5,377,366.75,366.75,-5,366.75,335,1790
2021-06-16,362.75,374.5,362.75,373.25,9,371.75,144,1786
2021-06-15,369.25,371,356.5,362.5,-6.75,362.75,216,1789
2021-06-14,380.5,380.5,365.25,368.75,-11,369.5,193,1735
2021-06-11,386,388.5,378,380,-5.75,380.5,139,1708
2021-06-10,388.75,391,385.75,386.5,-2.5,386.25,127,1656
2021-06-09,395.75,395.75,385,388.75,-6.75,388.75,151,1632
2021-06-08,391.75,396.75,389.75,395,3.75,395.5,163,1572
2021-06-07,386,404.25,385.5,393.75,5.5,391.75,304,1499
2021-06-04,374.5,387.75,374,386,12.25,386.25,134,1416
2021-06-03,382.5,384.5,370.5,371,-7.5,374,127,1315
2021-06-02,381,384.5,373.25,381,-0.25,381.5,147,1238
2021-06-01,375,385,374.75,381,4.75,381.75,199,1125
2021-05-28,375.5,377.5,372.5,375,4.75,377,59,1109
2021-05-27,366.5,375,366.5,371.5,8.75,372.25,18,1110
2021-05-26,361.5,365,359.5,365,3.25,363.5,92,1037
2021-05-25,361.75,362,355,362,5.25,360.25,48,1027
2021-05-24,354.5,362.25,354.5,355.5,-0.25,355,16,1025
2021-05-21,354.75,358,354.5,355.5,-2.25,355.25,36,1006
2021-05-20,352.25,359.75,351,359,6.25,357.5,65,962
2021-05-19,351.5,351.5,349.75,350.75,-3,351.25,32,968
2021-05-18,360.75,360.75,352.25,352.25,-1.75,354.25,79,946
2021-05-17,369,369,355.75,358.75,-7.75,356,68,942
2021-05-14,371.25,374.5,360.5,365.75,-4,363.25,6,51
2021-05-13,381.75,381.75,367.5,367.5,-16.25,367.25,18,51
2021-05-12,395,395,379,382.75,-9.25,383.5,35,43
2021-05-11,392,394,391,391.25,-0.25,392.75,9,40
2021-05-10,395.75,395.75,391.25,393,-4.5,393,5,40
2021-05-07,398.25,403.25,398.25,392.75,-3.25,397.5,10,42
2021-05-06,399,401,399,401,2.75,400.75,5,42
2021-05-05,NA,NA,NA,393.75,9.75,398,0,42
2021-05-04,NA,NA,NA,389.5,3,388.25,0,42
2021-05-03,NA,385,NA,389.75,2.5,385.25,0,42
2021-04-30,379,385.75,379,385.75,2.75,382.75,12,31
2021-04-29,382.5,382.5,382.5,380.75,-2.5,380,5,32
2021-04-28,381.5,385,381.5,382,-1.75,382.5,25,30
2021-04-27,383.25,386,382.25,386,1.25,384.25,11,29
2021-04-26,382.5,383,382.5,379.75,6.5,383,24,28
2021-04-23,375,375,375,377.25,-1.75,376.5,5,26
2021-04-22,372.75,372.75,372.75,370.5,9.25,378.25,34,31
2021-04-21,364,365.75,364,367.75,7.25,369,1,31
2021-04-20,357.5,361.25,357.5,363.25,4,361.75,2,32
