"Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
2021-01-15,13.48,13.49,13.24,13.315,-0.05,13.275,45,182
2021-01-14,13.33,13.355,13.295,13.305,0.015,13.325,96,124
2021-01-13,13.05,13.305,13.05,13.3,0.315,13.31,120,72
2021-01-12,12.785,12.95,12.725,12.99,0.245,12.995,30,66
2021-01-11,NA,12.865,12.76,12.875,-0.07,12.75,0,66
2021-01-08,12.85,12.89,12.785,12.845,-0.03,12.82,12,64
2021-01-07,12.815,12.865,12.79,12.825,0.015,12.85,5,64
2021-01-06,12.785,12.845,12.755,12.82,0.06,12.835,18,59
2021-01-05,12.81,12.85,12.725,12.79,-0.115,12.775,14,55
2021-01-04,12.89,13.145,12.8,12.895,0.03,12.89,16,46
2020-12-31,12.7,12.89,12.685,12.89,0.2,12.86,13,37
2020-12-30,12.615,12.86,12.615,12.68,0.025,12.66,5,38
2020-12-29,12.52,12.625,12.505,12.625,0.135,12.635,5,36
2020-12-28,12.685,12.695,12.485,12.495,-0.075,12.5,22,26
2020-12-24,NA,NA,NA,12.615,-0.11,12.575,0,26
2020-12-23,12.64,12.67,12.64,12.67,0.035,12.685,3,27
2020-12-22,NA,NA,NA,12.62,0.01,12.65,0,27
2020-12-21,NA,NA,NA,12.68,-0.205,12.64,0,27
2020-12-18,NA,NA,NA,12.865,0.03,12.845,0,27
2020-12-17,12.82,12.82,12.8,12.82,0.175,12.815,26,5
2020-12-16,NA,NA,NA,NA,0.01,12.64,0,5
2020-12-15,NA,NA,NA,12.665,-0.075,12.63,0,5
2020-12-14,NA,NA,12.75,12.75,-0.05,12.705,0,5
2020-12-11,NA,NA,NA,12.725,0.05,12.755,0,5
2020-12-10,12.65,12.65,12.65,12.65,0.06,12.705,1,5
2020-12-09,NA,NA,NA,12.625,0.055,12.645,0,5
2020-12-08,NA,NA,NA,12.55,0.02,12.59,0,5
2020-12-07,NA,NA,NA,12.56,0.08,12.57,0,5
2020-12-04,NA,NA,NA,12.525,-0.085,12.49,0,5
2020-12-03,NA,NA,NA,12.61,-0.12,12.575,0,5
2020-12-02,NA,NA,NA,12.745,-0.08,12.695,0,5
2020-12-01,NA,NA,NA,12.795,-0.025,12.775,0,5
2020-11-30,NA,NA,NA,12.715,-0.135,12.8,0,5
2020-11-27,NA,NA,NA,12.84,0.235,12.935,0,5
2020-11-25,NA,NA,NA,12.705,0.05,12.7,0,5
2020-11-24,NA,NA,NA,NA,-0.05,12.65,0,5
2020-11-23,NA,NA,NA,12.545,-0.03,12.7,0,5
2020-11-20,NA,NA,NA,NA,0.015,12.73,0,5
2020-11-19,NA,NA,NA,NA,-0.005,12.715,0,5
2020-11-18,NA,NA,NA,12.65,0.115,12.72,0,5
2020-11-17,NA,NA,NA,12.565,0.045,12.605,0,5
2020-11-16,NA,NA,NA,12.595,-0.085,12.56,0,5
