"Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
2021-06-29,1328,1330.25,1303.25,1315,1.75,1317.5,9004,34308
2021-06-28,1273.75,1321.75,1271.75,1314,41.5,1315.75,15243,33206
2021-06-25,1298.5,1311.75,1267,1274.5,-24.5,1274.25,13109,32370
2021-06-24,1308.25,1308.25,1269.5,1298.75,-9.25,1298.75,12551,32670
2021-06-23,1307,1320.5,1302.25,1306.25,-1.75,1308,9035,32582
2021-06-22,1330,1336,1306.25,1311.25,-16,1309.75,11767,32864
2021-06-21,1293.5,1332.75,1284.75,1327.5,8.5,1325.75,11083,34068
2021-06-18,1259.5,1328,1259.5,1319,58.75,1317.25,15336,34310
2021-06-17,1350.75,1355,1251,1253,-99,1258.5,19858,33972
2021-06-16,1388.75,1393.25,1353,1352.75,-27.25,1357.5,9245,33881
2021-06-15,1413.5,1418.75,1379.75,1382.5,-20,1384.75,13025,32467
2021-06-14,1439.75,1439.75,1390.75,1403.25,-42.75,1404.75,10913,32717
2021-06-11,1468.5,1474,1433.75,1447,-20.75,1447.5,13471,32561
2021-06-10,1470.25,1484.5,1454.75,1469.75,-0.25,1468.25,17184,31574
2021-06-09,1484.75,1487.5,1453,1467.75,-13.5,1468.5,11465,31204
2021-06-08,1475,1492.25,1466.25,1484.25,16.75,1482,10915,30803
2021-06-07,1487.25,1510.75,1463.75,1467.75,-4,1465.25,11802,30222
2021-06-04,1433.5,1471.75,1433.5,1466.5,33,1469.25,5257,29257
2021-06-03,1451.75,1472.25,1430.5,1433,-11,1436.25,4429,28591
2021-06-02,1426,1451.75,1423.75,1448.75,18,1447.25,6036,27665
2021-06-01,1421.75,1454.75,1416.25,1428.5,22.25,1429.25,4428,26865
2021-05-28,1412,1426.75,1401.25,1406.75,-4.5,1407,1738,26923
2021-05-27,1383.5,1414.5,1371.25,1412.25,31.5,1411.5,2810,27079
2021-05-26,1382.75,1390.25,1360,1380.5,-2.25,1380,3986,27383
2021-05-25,1393.75,1408.75,1373,1382.75,-13.25,1382.25,3423,27456
2021-05-24,1390.75,1397.25,1378,1393.75,-1.25,1395.5,2498,27484
2021-05-21,1405.75,1407.25,1387.25,1394,-7.5,1396.75,3671,27673
2021-05-20,1411,1419.75,1391.75,1403.5,-2.75,1404.25,2648,27541
2021-05-19,1438.75,1438.75,1393,1410,-31.5,1407,5798,27566
2021-05-18,1439.25,1452.75,1430.75,1438.25,-1.25,1438.5,4309,27895
2021-05-17,1440.5,1454,1430.5,1437.5,-5,1439.75,7677,27146
2021-05-14,1520.75,1551.75,1517.5,1533.25,5.25,1527.5,10113,36451
2021-05-13,1570.75,1575,1507,1522,-50.25,1522.25,16376,35259
2021-05-12,1554.5,1596.25,1553.5,1573.25,19,1572.5,18710,35255
2021-05-11,1526.5,1560.5,1512,1554,24.75,1553.5,12232,34999
2021-05-10,1524.5,1540.75,1523.5,1542,-8.75,1528.75,12598,34525
2021-05-07,1512.5,1547,1509.5,1515.25,21.75,1537.5,11336,33807
2021-05-06,1495.75,1519.5,1492.25,1515.25,24.25,1515.75,11746,32372
2021-05-05,1482,1496.5,1478.5,1490.75,9.5,1491.5,11649,31365
2021-05-04,1467,1495,1463.5,1482,15,1482,8965,31140
2021-05-03,1483,1496,1458.25,1469.5,-4.25,1467,8528,31392
2021-04-30,1444,1472.75,1435.5,1472,28,1471.25,10772,30918
2021-04-29,1445.25,1463.25,1441.25,1441.5,-12.5,1443.25,10104,31845
2021-04-28,1464.25,1485.5,1439.25,1448.25,-13.75,1455.75,17093,31819
2021-04-27,1490.75,1522,1467.5,1467.5,-19.5,1469.5,17722,31874
2021-04-26,1475.25,1492.25,1464.25,1491.25,21.5,1489,13429,32798
2021-04-23,1465.5,1476,1451.75,1467.25,2,1467.5,10608,32654
2021-04-22,1433,1474.75,1432.5,1465.5,33.75,1465.5,10629,32658
2021-04-21,1414.5,1433.5,1408,1432.5,18.75,1431.75,8878,32180
2021-04-20,1393.25,1426,1393.25,1413.25,19.25,1413,8889,31390
2021-04-19,1384.75,1398.5,1381.5,1391.75,12.75,1393.75,8973,30377
2021-04-16,1372,1390.75,1371.25,1381,8.5,1381,8903,29682
2021-04-15,1362.75,1374.75,1360.75,1371.25,9.25,1372.5,9604,29016
2021-04-14,1351.25,1371.25,1347,1362.75,14,1363.25,7155,29158
2021-04-13,1346.5,1359.5,1341.25,1348.25,3.75,1349.25,5454,28913
2021-04-12,1362.75,1365.75,1339,1345.5,-16.5,1345.5,5996,28552
2021-04-09,1372.75,1376.75,1360.25,1361.5,-11.75,1362,5923,28237
2021-04-08,1370.25,1378.25,1366.25,1372.25,3.25,1373.75,5292,27914
2021-04-07,1375.25,1381.75,1364.5,1369.75,-4.75,1370.5,4891,27593
2021-04-06,1372.5,1387,1372.25,1375.5,3,1375.25,4698,27076
2021-04-05,1372.75,1385.25,1370.75,1371.25,6.5,1372.25,5798,26197
2021-04-01,1396.75,1408,1362.5,1365.75,-19.5,1365.75,13441,25457
2021-03-31,1316.25,1385.25,1313.75,1385.25,70,1385.25,9461,25389
2021-03-30,1340.5,1343,1312.5,1315.25,-25.25,1315.25,5185,25212
2021-03-29,1347,1348.25,1333,1338.5,-5.25,1340.5,5047,24977
2021-03-26,1357.25,1362,1344.75,1347,-12.75,1345.75,4836,25368
2021-03-25,1372.75,1373.25,1354.75,1359.25,-15.75,1358.5,3984,25296
2021-03-24,1363.75,1375.5,1360.5,1372.75,10.25,1374.25,4905,24186
2021-03-23,1356.25,1374.5,1355.25,1362.75,8.75,1364,4834,24042
2021-03-22,1356.5,1360.25,1346.5,1354.75,-0.75,1355.25,3615,23878
2021-03-19,1333.75,1358.5,1333,1355.25,20.25,1356,4366,23201
2021-03-18,1362.5,1363,1334.25,1335,-26.75,1335.75,5056,22938
2021-03-17,1366,1372.75,1355.75,1361.25,-8.75,1362.5,4932,22528
2021-03-16,1369.5,1372,1361.5,1370,3.75,1371.25,4029,22363
2021-03-15,1359.25,1371.75,1352.5,1366.75,4.75,1367.5,5150,22069
2021-03-12,1401.75,1406.25,1381.5,1402,1,1402.5,44403,171609
2021-03-11,1396.5,1408,1386.75,1401,5.5,1401.5,49901,169412
2021-03-10,1428,1431,1394.25,1396,-30,1396,57841,171399
2021-03-09,1419.5,1427.5,1410.5,1426,7.75,1426,50056,169233
2021-03-08,1424.5,1444.25,1416,1426.5,4.5,1418.25,40597,169089
2021-03-05,1394.5,1416.75,1386.25,1413.25,18.75,1413.75,43680,171149
2021-03-04,1392,1418.75,1388.5,1395.5,3.5,1395,58409,169349
2021-03-03,1400.5,1401.75,1380.25,1392,-7.25,1391.5,40379,168534
2021-03-02,1383,1402.25,1367,1398.75,17.75,1398.75,43415,169554
2021-03-01,1402.25,1408.75,1379.5,1381.25,-10.5,1381,43894,167292
2021-02-26,1394.25,1395.5,1367.75,1394.75,-5.75,1391.5,37401,167598
2021-02-25,1411.25,1433.75,1383.25,1396,-14.75,1397.25,59933,165398
2021-02-24,1394.75,1413.5,1394.75,1402,17.5,1412,39844,165611
2021-02-23,1377,1414,1373.25,1394,17.5,1394.5,48943,165877
2021-02-22,1375,1379,1364,1375.75,9.25,1377,33870,164272
2021-02-19,1364.25,1378.5,1356.5,1369.25,3,1367.75,27271,162906
2021-02-18,1373.75,1379.5,1360,1363.75,-8.5,1364.75,25669,163160
2021-02-17,1373,1378.5,1365.75,1372.25,0.75,1373.25,22753,159830
2021-02-16,1370,1377.75,1361.25,1372.5,15.75,1372.5,19717,158680
2021-02-12,1352,1361,1346.25,1355,5.5,1356.75,21374,156940
2021-02-11,1336,1362.5,1321.25,1350,15.5,1351.25,29270,155531
2021-02-10,1379.75,1381,1333.75,1336,-43.5,1335.75,38522,154214
2021-02-09,1369.5,1386.75,1357.75,1378.75,11.25,1379.25,40160,152931
2021-02-08,1349.5,1371.25,1345.75,1367,20.25,1368,27442,151189
2021-02-05,1347.75,1362,1343.75,1347.75,-1.75,1347.75,21793,152119
2021-02-04,1350.5,1357.75,1342.5,1348.25,1,1349.5,25425,149951
2021-02-03,1333.75,1349.75,1319.75,1348.25,14.75,1348.5,23266,149709
2021-02-02,1345.25,1351.75,1322,1333,-11.25,1333.75,25673,149781
2021-02-01,1353,1360,1330,1345.75,-3.75,1345,26304,148608
2021-01-29,1333,1355.5,1317.75,1345.25,15.75,1348.75,33585,148723
2021-01-28,1351,1367.5,1324.75,1334.75,-21.5,1333,44642,148669
2021-01-27,1357,1372.75,1345.25,1352.75,2,1354.5,33865,146598
2021-01-26,1329,1358.75,1315.5,1353.25,24,1352.5,26071,145641
2021-01-25,1293,1336.25,1282.25,1328.5,30,1328.5,32059,146206
2021-01-22,1351.5,1351.5,1291.25,1295.5,-56,1298.5,45657,146075
2021-01-21,1350,1367.25,1347.75,1352.25,2.75,1354.5,25421,144871
2021-01-20,1368.75,1368.75,1335,1350,-17.5,1351.75,37767,144561
2021-01-19,1402.75,1405.25,1367.5,1366.5,-31.75,1369.25,30982,143105
2021-01-15,1415,1416.5,1396,1398.75,-12.25,1401,28520,142436
2021-01-14,1404,1433,1401,1424.75,24,1427.75,39333,167646
2021-01-13,1420,1431.75,1400.75,1403,-10,1403.75,51352,163333
2021-01-12,1370,1423,1354,1420,43.75,1413.75,51158,164690
2021-01-11,1376.75,1385.5,1352.5,1368.25,-1.25,1370,43641,166005
2021-01-08,1358.75,1382.75,1347,1370,17.5,1371.25,40667,167046
2021-01-07,1362.75,1367.25,1341,1355.75,-6.5,1353.75,37748,166165
2021-01-06,1357.75,1376.5,1353.25,1362.5,14,1360.25,41126,164013
2021-01-05,1312,1371.25,1312,1348,35,1346.25,86475,150367
2021-01-04,1311.25,1345.75,1298.75,1311,4.5,1311.25,67391,142918
2020-12-31,1296.25,1316.5,1292.5,1304.75,9,1306.75,36952,142351
2020-12-30,1294.25,1303.25,1278.75,1299.5,3.25,1297.75,33022,143316
2020-12-29,1253.25,1298,1244,1294.5,39.25,1294.5,29981,139907
2020-12-28,1272.5,1277.75,1245.75,1251.5,-7.5,1255.25,22798,138758
2020-12-24,1259.25,1272.5,1258.75,1263.25,4,1262.75,11486,139150
2020-12-23,1250,1265.75,1242,1259.75,9.25,1258.75,25861,138315
2020-12-22,1249,1254.5,1239.5,1250,2.75,1249.5,23503,139623
2020-12-21,1228.75,1248,1218,1244,23,1246.75,37744,139969
2020-12-18,1207.75,1228.25,1206,1223.75,17.75,1223.75,26204,139847
2020-12-17,1188.25,1208.25,1185.75,1203.25,16.25,1206,20151,139554
