"Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
2021-06-29,664.25,670.75,651.5,652.5,-5.5,653.25,25479,92172
2021-06-28,647.25,666,647,656.75,10.75,658.75,21120,93317
2021-06-25,658.5,664,644,645,-10.5,648,18684,92931
2021-06-24,668,669.25,652,657.75,-11.75,658.5,24510,93886
2021-06-23,663.75,677.5,663.5,670,9.25,670.25,18621,94349
2021-06-22,675.5,681.5,660.75,662,-9.5,661,21928,93258
2021-06-21,658.25,680.5,654.75,672,-0.75,670.5,24934,92550
2021-06-18,650,677.25,649.75,670.75,21.5,671.25,28894,92035
2021-06-17,672.5,676,646.75,650,-22.25,649.75,28249,91930
2021-06-16,673,682.25,669,673.75,-0.25,672,21448,89862
2021-06-15,685.75,687.25,661.25,669.75,-14,672.25,23258,88107
2021-06-14,693.5,693.5,669.5,685,-7,686.25,26197,86854
2021-06-11,696,701.25,682.75,693,-4,693.25,19103,84226
2021-06-10,698.75,702,688,695.5,-0.25,697.25,24834,81391
2021-06-09,699.25,700,687.25,695.5,-1.75,697.5,20431,77798
2021-06-08,697.75,711.25,694.25,699.5,4.75,699.25,23657,73628
2021-06-07,703.75,715.25,693.25,694.5,-5.25,694.5,28388,71584
2021-06-04,690,701.75,689,696.75,11.25,699.75,19974,68853
2021-06-03,701.25,710.5,682,689.25,-11.5,688.5,18639,67189
2021-06-02,702,711.25,693,698.5,-3.25,700,18670,67088
2021-06-01,683,712.5,683,701,28.5,703.25,21110,66277
2021-05-28,686,688.75,672.75,675,-11.5,674.75,11292,66036
2021-05-27,659.5,690.25,659.5,684.25,26.5,686.25,16536,65257
2021-05-26,665.5,665.75,648.75,660.5,-6.25,659.75,20248,67265
2021-05-25,672.5,675.5,656.5,665.75,-4.75,666,20840,68240
2021-05-24,674.75,675.5,660.75,671.5,-10.25,670.75,12944,68820
2021-05-21,683,684,673.5,679.25,-1,681,17548,71895
2021-05-20,688.25,693.5,678.25,685,-3,682,12700,71245
2021-05-19,702.25,702.75,676.25,688.25,-17.5,685,15746,71464
2021-05-18,705.25,719.75,696,702,-0.25,702.5,11345,70833
2021-05-17,706.5,709,694.5,704.5,-7,702.75,11210,70238
2021-05-14,705.75,723.5,699.5,706.5,5.25,706.5,20885,77046
