"Date","Open","High","Low","Settle","Change","Wave","Volume","Prev. Day Open Interest","EFP Volume","EFS Volume","Block Volume"
2021-06-29,87.55,87.93,87.04,87.58,0.15,NA,12024,146284,NA,NA,NA
2021-06-28,87.19,87.94,86.8,87.43,0.25,NA,12710,144579,NA,NA,NA
2021-06-25,86.73,87.55,86.66,87.18,0.45,NA,9290,144308,NA,NA,NA
2021-06-24,86.92,87,85.9,86.73,-0.21,NA,13382,142912,NA,NA,NA
2021-06-23,85.83,87,85.63,86.94,1.3,NA,12294,141386,NA,NA,NA
2021-06-22,85.16,86.14,84.72,85.64,0.45,NA,13332,139885,NA,NA,NA
2021-06-21,85.15,85.37,84.1,85.19,0.01,NA,13632,139802,NA,NA,NA
2021-06-18,84.05,85.68,84.05,85.18,1.12,NA,14504,139541,NA,NA,NA
2021-06-17,85.8,85.92,83.37,84.06,-1.89,NA,24288,141407,NA,NA,NA
2021-06-16,86.95,87.14,85.76,85.95,-0.85,NA,15898,141748,NA,NA,NA
2021-06-15,86.13,86.98,85.3,86.8,0.67,NA,18617,139187,NA,NA,NA
2021-06-14,87.75,87.75,83.92,86.13,-1.79,NA,25657,138652,NA,NA,NA
2021-06-11,88.21,88.5,87.43,87.92,-0.29,NA,23319,134936,NA,NA,NA
2021-06-10,87.14,88.29,86.55,88.21,0.87,NA,28134,128159,NA,NA,NA
2021-06-09,86,87.5,86,87.34,1.35,NA,23581,125051,NA,NA,NA
2021-06-08,85.26,86.65,85.18,85.99,0.73,NA,19122,122806,NA,NA,NA
2021-06-07,86,86.53,85,85.26,-0.62,NA,21148,120176,NA,NA,NA
2021-06-04,85,86.85,84.4,85.88,0.84,NA,23259,118716,NA,NA,NA
2021-06-03,84.75,85.43,84.55,85.04,0.38,NA,15461,116180,NA,NA,NA
2021-06-02,84.77,85.09,84.18,84.66,-0.15,NA,15650,114650,NA,NA,NA
2021-06-01,83.41,85.44,83.32,84.81,1.49,NA,19034,111193,NA,NA,NA
2021-05-31,NA,NA,NA,83.32,0,NA,0,111193,NA,NA,NA
2021-05-28,83.46,83.68,82.99,83.32,-0.14,NA,9546,108955,NA,NA,NA
2021-05-27,83.23,83.61,82.3,83.46,0.23,NA,9202,107320,NA,NA,NA
2021-05-26,83.01,83.49,82.27,83.23,0.14,NA,7415,106481,NA,NA,NA
2021-05-25,83.29,83.82,82.79,83.09,-0.2,NA,7103,106307,NA,NA,NA
2021-05-24,83,83.35,82.6,83.29,0.07,NA,5305,105373,NA,NA,NA
2021-05-21,81.99,84.3,81.94,83.22,1.23,NA,12193,102708,NA,NA,NA
2021-05-20,82.66,83.25,81.75,81.99,-0.38,NA,12820,100973,NA,NA,NA
2021-05-19,83.31,83.55,81.7,82.37,-0.93,NA,8346,99738,NA,NA,NA
2021-05-18,81.65,83.46,81.6,83.3,1.59,NA,8877,97272,NA,NA,NA
2021-05-17,81.42,82.21,81.31,81.71,0.49,NA,11211,95297,NA,NA,NA
2021-05-14,83.13,84.1,80.99,81.22,-2.08,NA,12162,94487,NA,NA,NA
2021-05-13,85.36,85.54,83.11,83.3,-2.37,NA,11604,95803,NA,NA,NA
2021-05-12,85.43,86.49,84.92,85.67,0.14,NA,10268,94839,NA,NA,NA
2021-05-11,85.9,86.1,85.02,85.53,-0.57,NA,6795,92940,NA,NA,NA
2021-05-10,86.7,87,84.93,86.1,-0.79,NA,7591,92546,NA,NA,NA
2021-05-07,86.62,87,85.51,86.89,0.17,NA,10117,91363,NA,NA,NA
2021-05-06,87.44,88.73,87.44,88.72,1.71,NA,15,39,NA,NA,NA
2021-05-05,86.71,87.04,86.71,87.01,0.34,NA,5,38,NA,NA,NA
2021-05-04,86.6,86.96,86.6,86.67,-0.35,NA,5,41,NA,NA,NA
2021-05-03,87.87,88.34,86.72,87.02,0.55,NA,19,33,NA,NA,NA
2021-04-30,NA,NA,NA,86.47,1.03,NA,1,33,NA,NA,NA
2021-04-29,85.23,86.06,84.51,85.44,-2.4,NA,24,34,NA,NA,NA
2021-04-28,87.9,87.9,87.7,87.84,-1.37,NA,4,36,NA,NA,NA
2021-04-27,87.09,88.15,86.11,89.21,2.42,NA,10,32,NA,NA,NA
2021-04-26,NA,NA,NA,86.79,0.41,NA,3,32,NA,NA,NA
2021-04-23,86.14,86.14,86.14,86.38,1.55,NA,1,32,NA,NA,NA
2021-04-22,85.54,85.58,85.2,84.83,-0.05,NA,9,31,NA,NA,NA
2021-04-21,83.96,84.3,83.96,84.88,0.63,NA,6,31,NA,NA,NA
2021-04-20,84.4,84.4,84.1,84.25,0.67,NA,5,28,NA,NA,NA
2021-04-19,84.45,84.45,83.5,83.58,0.18,NA,8,29,NA,NA,NA
2021-04-16,NA,NA,NA,83.4,-0.63,NA,NA,29,NA,NA,NA
2021-04-15,83.32,83.95,83.32,84.03,0.79,83.64,6,28,NA,NA,NA
2021-04-14,82.64,82.7,82.64,83.24,1.33,82.68,7,29,NA,NA,NA
2021-04-13,81.39,81.39,81.39,81.91,0.99,81.39,1,29,NA,NA,NA
2021-04-12,82.38,82.38,82.38,80.92,-1.34,82.38,3,28,NA,NA,NA
2021-04-09,82,82,82,82.26,0.6,82,2,27,NA,NA,NA
2021-04-08,82.45,82.45,82.45,81.66,1.27,82.45,1,27,NA,NA,NA
2021-04-07,NA,NA,NA,80.39,0.6,NA,3,27,NA,NA,NA
2021-04-06,NA,NA,NA,79.79,1.52,NA,1,26,NA,NA,NA
2021-04-05,78.56,78.56,78.56,78.27,0.05,78.56,6,25,NA,NA,NA
2021-04-01,80.85,80.85,80.85,78.22,-2.48,80.85,5,24,NA,NA,NA
2021-03-31,80.36,80.36,80.36,80.7,0.98,80.36,4,23,NA,NA,NA
2021-03-30,NA,NA,NA,79.72,0.07,NA,NA,23,NA,NA,NA
2021-03-29,79.35,79.35,79.35,79.65,0.16,79.35,2,23,NA,NA,NA
2021-03-26,78.68,78.8,78.68,79.49,2.29,78.75,5,18,NA,NA,NA
2021-03-25,NA,NA,NA,77.2,-3.92,NA,NA,18,NA,NA,NA
2021-03-24,NA,NA,NA,81.12,-0.95,NA,NA,18,NA,NA,NA
2021-03-23,NA,NA,NA,82.07,-1.01,NA,NA,19,NA,NA,NA
2021-03-22,82.85,82.85,82.85,83.08,0.05,82.85,1,19,NA,NA,NA
2021-03-19,82.55,83.31,82.55,83.03,-0.28,82.92,3,18,NA,NA,NA
2021-03-18,83.08,83.08,83.08,83.31,-1.02,83.08,1,18,NA,NA,NA
2021-03-17,84.99,84.99,84.83,84.33,0.07,84.91,2,17,NA,NA,NA
2021-03-16,83.94,83.94,83.94,84.26,0.1,83.94,1,17,NA,NA,NA
2021-03-15,82.97,82.97,82.97,84.16,-0.64,82.97,1,18,NA,NA,NA
2021-03-12,86.02,86.02,83.55,84.8,-0.99,85.09,4,17,NA,NA,NA
2021-03-11,NA,NA,NA,85.79,2.57,NA,NA,17,NA,NA,NA
2021-03-10,83.14,83.14,83.14,83.22,0.93,83.14,1,17,NA,NA,NA
2021-03-09,85.46,85.46,84.79,82.29,-3.5,85.13,2,17,NA,NA,NA
2021-03-08,89.45,90.23,88.25,89.29,0.62,89.07,7799,56098,5,NA,NA
2021-03-05,88.05,88.75,86.64,88.67,0.54,87.84,10018,56017,5,20,NA
2021-03-04,89.79,90.27,87.59,88.13,-1.28,89.09,10772,56662,48,NA,159
2021-03-03,91.97,92.02,89.14,89.41,-2.51,90.13,10944,57063,5,NA,NA
2021-03-02,92.41,92.41,91.05,91.92,-0.54,91.61,6527,56859,8,NA,54
2021-03-01,90.25,93.7,90.09,92.46,2.75,92.21,12901,57111,8,NA,NA
2021-02-26,90.2,90.43,88.17,89.71,-0.66,89.75,12559,58207,14,NA,120
2021-02-25,94.59,96.22,90.33,90.37,-3.96,93.36,14615,58505,772,179,NA
2021-02-24,93.32,94.77,92.81,94.33,1,93.82,6444,58701,6,39,NA
2021-02-23,93.09,93.88,92.12,93.33,0.25,93.01,7585,57621,159,1000,216
2021-02-22,91.58,93.2,91.58,93.08,1.87,92.56,7923,57303,374,NA,19
2021-02-19,90.96,91.86,90.34,91.21,0.17,91.29,5275,58145,478,NA,NA
2021-02-18,90.71,91.53,90.34,91.04,0.33,90.99,6911,57730,4,2000,NA
2021-02-17,90.72,90.79,89.87,90.71,0.39,90.37,8581,55379,4,NA,131
2021-02-16,89.6,91.04,89.46,90.32,0.91,90.41,8718,55322,12,NA,NA
2021-02-15,NA,NA,NA,89.41,0,NA,NA,55322,NA,NA,NA
2021-02-12,88.86,89.46,87.73,89.41,0.75,88.75,9228,53516,147,NA,NA
2021-02-11,86.85,88.88,86.85,88.66,1.66,88.13,8548,52323,NA,NA,NA
2021-02-10,88.38,88.7,86.65,87,-1.89,87.55,10719,51263,NA,2200,NA
