"Date","Open","High","Low","Settle","Change","Wave","Volume","Prev. Day Open Interest","EFP Volume","EFS Volume","Block Volume"
2021-06-29,165.9,166.6,161,163.1,-2.35,NA,5930,64956,NA,NA,NA
2021-06-28,160.55,166.45,160.35,165.45,4.8,NA,9381,64523,NA,NA,NA
2021-06-25,157.35,161,157.35,160.65,4.4,NA,6931,63731,NA,NA,NA
2021-06-24,156.1,157.6,154.95,156.25,-0.5,NA,6554,64389,NA,NA,NA
2021-06-23,155.3,157.55,155.25,156.75,1.75,NA,5376,65131,NA,NA,NA
2021-06-22,157.25,158.25,154.4,155,-1.95,NA,5673,65240,NA,NA,NA
2021-06-21,153.85,158.25,152.05,156.95,2,NA,7933,64632,NA,NA,NA
2021-06-18,154.6,156.1,152.2,154.95,0.35,NA,6572,63855,NA,NA,NA
2021-06-17,158.1,158.1,153.8,154.6,-3.85,NA,6940,63790,NA,NA,NA
2021-06-16,156.95,159.3,156.35,158.45,2.25,NA,8232,62593,NA,NA,NA
2021-06-15,159.5,159.8,155.8,156.2,-2.95,NA,7685,61602,NA,NA,NA
2021-06-14,161.35,161.75,156.65,159.15,-3.4,NA,12373,58563,NA,NA,NA
2021-06-11,164.6,165.65,162.3,162.55,-1.2,NA,7358,58082,NA,NA,NA
2021-06-10,162.7,164.25,161.7,163.75,1.55,NA,8389,56247,NA,NA,NA
2021-06-09,162.3,164.6,160.9,162.2,-0.6,NA,9174,56231,NA,NA,NA
2021-06-08,164.6,166.85,162.3,162.8,-2.2,NA,11068,54788,NA,NA,NA
2021-06-07,166.35,168.2,163.8,165,-1.35,NA,14115,53512,NA,NA,NA
2021-06-04,162.75,166.65,160,166.35,3.9,NA,6539,53366,NA,NA,NA
2021-06-03,165.9,166.7,161,162.45,-3.45,NA,8781,53207,NA,NA,NA
2021-06-02,166.5,170,165.15,165.9,0.1,NA,5882,52958,NA,NA,NA
2021-06-01,166.95,171.35,164,165.8,-1.2,NA,7649,52910,NA,NA,NA
2021-05-31,NA,NA,NA,167,0,NA,0,52911,NA,NA,NA
2021-05-28,160.75,167.85,160.75,167,6.9,NA,10167,52231,NA,NA,NA
2021-05-27,161.15,161.95,159.3,160.1,-0.25,NA,10367,50291,NA,NA,NA
2021-05-26,155.4,161.45,154.85,160.35,5.15,NA,4983,49726,NA,NA,NA
2021-05-25,155.25,156.65,153.7,155.2,1.5,NA,3373,49033,NA,NA,NA
2021-05-24,154.3,155,152.2,153.7,-1.05,NA,4319,48885,NA,NA,NA
2021-05-21,154.75,157.35,153.15,154.75,-0.8,NA,3923,48911,NA,NA,NA
2021-05-20,155.8,158.1,155,155.55,0.05,NA,4255,48288,NA,NA,NA
2021-05-19,157.35,157.75,153.85,155.5,-1.85,NA,4682,48609,NA,NA,NA
2021-05-18,152.15,158.25,152.15,157.35,6.95,NA,5622,47637,NA,NA,NA
2021-05-17,146.95,148.85,146.55,147.75,0.8,NA,5389,70585,NA,NA,NA
2021-05-14,148.6,149.7,146.7,146.95,-1.4,NA,8221,69150,NA,NA,NA
2021-05-13,147.95,149.8,145.8,148.35,-0.1,NA,7414,68547,NA,NA,NA
2021-05-12,151.9,152.55,148,148.45,-3.55,NA,10346,67309,NA,NA,NA
2021-05-11,149.65,153.55,149.5,152,2,NA,7506,67160,NA,NA,NA
2021-05-10,154.6,155.3,149.4,150,-4.8,NA,6720,65456,NA,NA,NA
2021-05-07,156,156,151.25,154.8,-1.4,NA,11903,65079,NA,NA,NA
2021-05-06,152.1,157.3,150.75,156.2,4.45,NA,21590,63760,NA,NA,NA
2021-05-05,142.8,152.2,142.45,151.75,9.45,NA,12975,62783,NA,NA,NA
2021-05-04,142.3,145,141.6,142.3,0.15,NA,6321,63659,NA,NA,NA
2021-05-03,143,144.45,141.5,142.15,-1.25,NA,6400,63365,NA,NA,NA
2021-04-30,144.8,147.65,143,143.4,-1.5,NA,8254,64774,NA,NA,NA
2021-04-29,148.2,149.55,143.75,144.9,-2.9,NA,7697,64436,NA,NA,NA
2021-04-28,146.8,148.65,145.35,147.8,0,NA,7509,64192,NA,NA,NA
2021-04-27,145.25,148.15,144.9,147.8,2.55,NA,14550,64824,NA,NA,NA
2021-04-26,140.15,146.05,139.45,145.25,4.85,NA,14385,64785,NA,NA,NA
2021-04-23,137.7,142.1,137.65,140.4,2.35,NA,9541,64972,NA,NA,NA
2021-04-22,136.6,138.35,134.1,138.05,1.95,NA,5505,65117,NA,NA,NA
2021-04-21,136.5,137.25,134.45,136.1,-0.25,NA,4418,65386,NA,NA,NA
2021-04-20,133.85,136.9,133.85,136.35,2.55,NA,6642,66052,NA,NA,NA
2021-04-19,133.15,135.5,133.05,133.8,0.65,NA,6329,66311,NA,NA,NA
2021-04-16,136.9,137.35,132.75,133.15,-3.4,134.9,7056,65347,93,NA,NA
2021-04-15,135.8,136.9,134.7,136.55,0.7,135.88,8593,63126,1017,2006,NA
2021-04-14,134,136.85,133.9,135.85,2.05,135.53,9220,60876,323,2056,NA
2021-04-13,131.75,134.8,130.55,133.8,2,132.93,10804,60656,202,4,NA
2021-04-12,130.5,132.8,129.5,131.8,0.8,131.52,8695,60826,63,NA,NA
2021-04-09,131.85,132.55,130.7,131,-0.7,131.6,7315,58054,86,120,NA
2021-04-08,130.65,132.45,130.6,131.7,1.1,131.51,7864,56936,157,10,NA
2021-04-07,130.55,131.75,129.2,130.6,0.05,130.61,6630,56278,148,NA,NA
