"Date","Open","High","Low","Settle","Change","Wave","Volume","Prev. Day Open Interest","EFP Volume","EFS Volume","Block Volume"
2021-06-29,17.87,17.89,17.61,17.8,-0.07,NA,15733,177095,NA,NA,NA
2021-06-28,17.67,17.89,17.45,17.87,0.28,NA,13723,176703,NA,NA,NA
2021-06-25,17.52,17.63,17.37,17.59,0.09,NA,14954,176093,NA,NA,NA
2021-06-24,17.24,17.54,17.07,17.5,0.21,NA,14266,175300,NA,NA,NA
2021-06-23,17.15,17.38,17.09,17.29,0.26,NA,13001,174401,NA,NA,NA
2021-06-22,17.32,17.35,16.9,17.03,-0.33,NA,17734,174769,NA,NA,NA
2021-06-21,16.9,17.47,16.74,17.36,0.41,NA,20689,171437,NA,NA,NA
2021-06-18,17.03,17.19,16.86,16.95,-0.04,NA,15538,170246,NA,NA,NA
2021-06-17,17.35,17.37,16.98,16.99,-0.49,NA,24038,169549,NA,NA,NA
2021-06-16,17.38,17.68,17.34,17.48,0.05,NA,17346,167408,NA,NA,NA
2021-06-15,17.61,17.72,17.32,17.43,-0.18,NA,12868,167106,NA,NA,NA
2021-06-14,17.86,17.86,17.35,17.61,-0.28,NA,27314,165535,NA,NA,NA
2021-06-11,17.94,17.97,17.7,17.89,-0.05,NA,20098,164970,NA,NA,NA
2021-06-10,17.89,18.07,17.81,17.94,0.02,NA,32530,155810,NA,NA,NA
2021-06-09,17.93,18.04,17.77,17.92,-0.01,NA,32820,150526,NA,NA,NA
2021-06-08,17.59,17.97,17.59,17.93,0.29,NA,22187,147402,NA,NA,NA
2021-06-07,17.85,17.98,17.57,17.64,-0.26,NA,22006,144372,NA,NA,NA
2021-06-04,17.64,17.98,17.64,17.9,0.26,NA,12573,144021,NA,NA,NA
2021-06-03,17.9,17.91,17.51,17.64,-0.23,NA,15178,141993,NA,NA,NA
2021-06-02,17.88,18.03,17.69,17.87,0.03,NA,17203,138130,NA,NA,NA
